1984, de George Orwell
1Q84 - Libros 1 y 2, de Haruki Murakami
20.000 Leguas de Viaje Submarino, de Julio Verne
2001: Una Odisea Espacial, de Arthur C. Clarke
21 Lecciones para el Siglo XXI, de Yuval Noah Harari
22/11/63, de Stephen King
365 enigmas y juegos de logica de miquel capo
A Paso de Cangrejo, de Umberto Eco
A Sangre Fría, de Truman Capote
ADN Asesino, de Patricia Cornwell
After Dark, de Haruki Murakami
Agujeros Negros y Pequeños Universos, de Stephen Hawking
Al Faro, de Virginia Woolf
Alias Grace, de Margaret Atwood
Alicia en el País de las Maravillas, de Lewis Carrol
Almas Grises, de Philippe Claudel
Alrededor de la Luna, de Julio Verne
Ana Karenina, de León Tolstoi
Antes del Fin, de Ernesto Sabato
Aquí Vivieron, de Manuel Mujica Láinez
Asesinato en el Orient Express, de Agatha Christie
Aventuras de Arthur Gordon Pym, de Edgar Allan Poe
Azabache, de Anna Sewell
Bahía Blanca, de Martín Kohan
Baila, Baila, Baila, de Haruki Murakami
Bar del Infierno, de Alejandro Dolina
Bestiario, de Julio Cortázar
Bodas de Sangre, de Federico García Lorca
Bomarzo, de Manuel Mujica Láinez
Borges Profesor, de Jorge Luis Borges
Borges y la Física Cuántica, de Alberto Rojo
Borges, de Adolfo Bioy Casares
Borges: La Ironía Metafísica, de Fernando Savater
Breve Historia del Tiempo, de Stephen Hawking
Brujerías - Mundodisco 6, de Terry Pratchett
Buenos Presagios, de Terry Pratchett
Carolina Grau, de Carlos Fuentes
Carta al padre, de Franz Kafka
Cartas Marcadas, de Alejandro Dolina
Cartas de Amor y Desamor, de Gabriela Mistral
Casa de Muñecas, de Henrik Ibsen
Cavernas y Palacios, de Diego Golombek
Cerca del Corazón Salvaje, de Clarice Lispector
Cerrado por Fútbol, de Eduardo Galeano
Charlie y la Fábrica de Chocolate, de Roald Dahl
Chomsky Esencial, de Noam Chomsky
Choque de Reyes. Canción de Hielo y Fuego II, de George R.R. Martin
Cien Años de Soledad, de Gabriel García Márquez
Ciencias morales, de Martín Kohan
Cinco Semanas En Globo, de Julio Verne
Claraboya, de José Saramago
Comer y Pasarla Bien, de Narda Lepes
Como Agua Para Chocolate, de Laura Esquivel
Confieso Que He Vivido, de Pablo Neruda
Crimen y Castigo, de Fiodor Dostoievski
Crónica de una Muerte Anunciada, de Gabriel García Márquez
Crónica del Pájaro que da Cuerda al Mundo, de Haruki Murakami
Crónicas Marcianas, de Ray Bradbury
Crónicas del Ángel Gris, de Alejandro Dolina
Cuento de Navidad, de Charles Dickens
Cuentos De Buenas Noches Para Niñas Rebeldes 2, de Elena Favilli
Cuentos Que Me Apasionaron 2, de Ernesto Sabato
Cuentos Que Me Apasionaron, de Ernesto Sabato
Cuentos de Amor, de Locura y de Muerte, de Horacio Quiroga
Cuentos de Buenas Noches para Niñas Rebeldes, de Elena Favilli
Cuentos de la Selva, de Horacio Quiroga
Cumbres Borrascosas, de Emily Brontë
Cándido o El Optimismo, de Voltaire Voltaire
Danza de Dragones. Canción de Hielo y Fuego V, de George R.R. Martin
De Amor y de Sombra, de Isabel Allende
De Profundis, de Oscar Wilde
De Qué Hablo Cuando Hablo de Correr, de Haruki Murakami
De la Tierra a la Luna, de Julio Verne
Del Amor y Otros Demonios, de Gabriel García Márquez
Del Sufrimiento a la Paz, de Ignacio Larrañaga
Demian: Historia de la Juventud de Emil Sinclair, de Hermann Hesse
Demoliendo Papers, de Diego Golombek
Detectives, de Adrián Paenza
Diarios, de Virginia Woolf
Diez Negritos, de Agatha Christie
Dioses Menores - Mundodisco 13, de Terry Pratchett
Discurso del Método, de René Descartes
Doce Cuentos Peregrinos, de Gabriel García Márquez
Doctor Sueño, de Stephen King
Don Quijote de la Mancha, de Miguel De Cervantes Saavedra
Dormir Al Sol, de Adolfo Bioy Casares
Duérmete Niño, de Eduard Estivill
Edipo Rey, de Sófocles Sófocles
Educación Emocional: una tarea compartida, de Mariela Vergara Panzeri
Educación y el Orden Social, de Bertrand Russell
Effi Briest, de Theodor Fontane
Einstein, Pasiones de un Científico, de Barry Parker
El Abanico de Seda, de Lisa See
El Aleph, de Jorge Luis Borges
El Alquimista, de Paulo Coelho
El Amor En Los Tiempos Del Cólera, de Gabriel García Márquez
El Anatomista, de Federico Andahazi
El Atroz Encanto de Ser Argentinos 2, de Marcos Aguinis
El Atroz Encanto de Ser Argentinos, de Marcos Aguinis
El Cazador Oculto (o El Guardían entre el Centeno), de J. D. Salinger
El Cazador de Historias, de Eduardo Galeano
El Cementerio de Praga, de Umberto Eco
El Cerebro Infantil, de José Antonio Marina
El Cerebro Lector, de Stanislas Dehaene
El Club Dante, de Matthew Pearl
El Club Dumas, de Arturo Pérez-Reverte
El Cocinero Científico, de Diego Golombek
El Color de la Magia - Mundodisco I, de Terry Pratchett
El Conde de Montecristo, de Alejandro Dumas
El Conquistador, de Federico Andahazi
El Contrato Social, de Jean Jacques Rousseau
El Corazón Delator y otros relatos, de Edgar Allan Poe
El Coronel No Tiene Quien Le Escriba, de Gabriel García Márquez
El Cuento de la Criada, de Margaret Atwood
El Cuervo y otros poemas, de Edgar Allan Poe
El Código Da Vinci, de Dan Brown
El Decamerón, de Giovanni Boccaccio
El Destino del Cazador, de Wilbur Smith
El Diario de Ana Frank, de Ana Frank
El Día Que Nietzsche Lloró, de Irvin D. Yalom
El Egiptólogo, de Arthur Phillips
El Espejismo de Dios, de Richard Dawkins
El Estafador, de John Grisham
El Evangelio Según Jesucristo, de José Saramago
El Extranjero, de Albert Camus
El Extraño Caso del Dr. Jekyll y Mr. Hyde, de Robert Louis Stevenson
El Fantasma de Canterville, de Oscar Wilde
El Faro del Fin del Mundo, de Julio Verne
El Forastero Misterioso, de Mark Twain
El Fútbol a Sol y Sombra, de Eduardo Galeano
El Gato Negro y otros cuentos, de Edgar Allan Poe
El Gen Egoista, de Richard Dawkins
El General en su Laberinto, de Gabriel García Márquez
El Gorila Invisible, de Christopher Chabris
El Gran Diseño, de Stephen Hawking
El Hechicero, de Wilbur Smith
El Hermano de Asís, de Ignacio Larrañaga
El Hobbit, de J.R.R. Tolkien
El Hombre Equivocado, de John Katzenbach
El Hombre Ilustrado, de Ray Bradbury
El Hombre Invisible, de H.G. Wells
El Hombre Que Calculaba, de Malba Tahan
El Hombre Rebelde, de Albert Camus
El Hombre en Busca de Sentido, de Viktor Frankl
El Informe de Brodeck, de Philippe Claudel
El Instituto, de Stephen King
El Intermediario, de John Grisham
El Lazarillo de Tormes, de Anónimo Anónimo
El Libro de la Selva, de Rudyard Kipling
El Libro de los Abrazos, de Eduardo Galeano
El Libro de los Seres Imaginarios, de Jorge Luis Borges
El Libro del Fantasma, de Alejandro Dolina
El Llano en Llamas, de Juan Rulfo
El Matrimonio Feliz, de Ignacio Larrañaga
El Mercader De Venecia, de William Shakespeare
El Mito de Sisifo, de Albert Camus
El Mundo Ha Vivido Equivocado, de Roberto Fontanarrosa
El Nombre de la Rosa, de Umberto Eco
El Octavo Hábito, de Stephen Covey
El Olor de la Guayaba, de Gabriel García Márquez
El Otoño del Patriarca, de Gabriel García Márquez
El Perseguidor, de Julio Cortázar
El Precio de la Pasión, de Gabriel Rolón
El Principe Feliz, de Oscar Wilde
El Principito, de Antoine De Saint-Exupéry
El Proceso, de Franz Kafka
El Príncipe, de Nicolás Maquiavelo
El Psicoanalista, de John Katzenbach
El Péndulo de Foucault, de Umberto Eco
El Restaurante del Fin del Mundo, de Douglas Adams
El Retrato de Dorian Gray, de Oscar Wilde
El Rey de la Milonga, de Roberto Fontanarrosa
El Rey de los Pleitos, de John Grisham
El Segundo Sexo, de Simone de Beauvoir
El Sentido de la Vida, de Ignacio Larrañaga
El Señor de los Anillos I - La Comunidad del Anillo, de J.R.R. Tolkien
El Señor de los Anillos II - Las Dos Torres, de J.R.R. Tolkien
El Señor de los Anillos III - El Retorno del Rey, de J.R.R. Tolkien
El Signo de los Cuatro, de Arthur Conan Doyle
El Soberano del Nilo, de Wilbur Smith
El Sueño de los Héroes, de Adolfo Bioy Casares
El Séptimo Papiro, de Wilbur Smith
El Símbolo Perdido, de Dan Brown
El Tango de la Guardia Vieja, de Arturo Pérez-Reverte
El Triunfo del Sol, de Wilbur Smith
El Túnel, de Ernesto Sabato
El Viaje del Elefante, de José Saramago
El Viejo y El Mar, de Ernest Hemingway
El Viento por la Cerradura, de Stephen King
El Vino Del Estío, de Ray Bradbury
El Vino de la Soledad, de Irène Némirovsky
El Visitante, de Stephen King
El Zorro, de Isabel Allende
El león, la bruja y el armario, de C.S. Lewis
El Último Jurado, de John Grisham
El Último Lector, de Ricardo Piglia
Elena Sabe, de Claudia Piñeiro
Ella: una historia de aventuras, de Henry Rider Haggard
Emma, de Jane Austen
En Qué Creen Los Que No Creen, de Umberto Eco
Encuentros (El Lado B del Amor), de Gabriel Rolón
Ensayo sobre la Ceguera, de José Saramago
Ensayo sobre la Lucidez, de José Saramago
Entre Actos, de Virginia Woolf
Eric - Mundodisco 9, de Terry Pratchett
Escuela de Robinsones, de Julio Verne
Espejos, de Eduardo Galeano
Estravagario, de Pablo Neruda
Estudio en Escarlata, de Arthur Conan Doyle
Eva, de Arturo Pérez-Reverte
Facundo, de Domingo Faustino Sarmiento
Falcó, de Arturo Pérez-Reverte
Farenheit 451, de Ray Bradbury
Fausto, de Johann Wolfgang von Goethe
Federico en su Balcón, de Carlos Fuentes
Festín de Cuervos. Canción de Hielo y Fuego IV, de George R.R. Martin
Ficciones, de Jorge Luis Borges
Filosofía en 11 frases, de Darío Sztajnszrajber
Fortunata y Jacinta, de Benito Pérez Galdós
Frankenstein, de Mary Shelley
Fuego y Sangre, de George R.R. Martin
Fuera de lugar, de Martín Kohan
Física de lo Imposible, de Michio Kaku
Gracias por el Fuego, de Mario Benedetti
Guerra y Paz, de León Tolstoi
Guía del Autoestopista Galáctico, de Douglas Adams
Hamlet, de William Shakespeare
Han de Islandia, de Victor Hugo
Harry Potter y el Cáliz de Fuego, de J. K. Rowling
Harry Potter y el Legado Maldito, de J. K. Rowling
Harry Potter y el Misterio del Príncipe, de J. K. Rowling
Harry Potter y el Prisionero de Azkaban, de J. K. Rowling
Harry Potter y la Cámara Secreta, de J. K. Rowling
Harry Potter y la Orden del Fénix, de J. K. Rowling
Harry Potter y la Piedra Filosofal, de J. K. Rowling
Harry Potter y las Reliquias de la Muerte, de J. K. Rowling
Hasta Luego, y Gracias por el Pescado, de Douglas Adams
Herejes, de Leonardo Padura
Historia Universal de la Infamia, de Jorge Luis Borges
Historia de dos Ciudades, de Charles Dickens
Historia de la Fealdad, de Umberto Eco
Historias Argentinas, de la Conquista al Proceso, de Pacho O'Donnell
Historias Desaforadas, de Adolfo Bioy Casares
Historias Fantásticas, de Adolfo Bioy Casares
Historias de Cronopios y de Famas, de Julio Cortázar
Historias de Diván, de Gabriel Rolón
Historias de los Señores Moc y Poc, de Luis María Pescetti
Hombres Buenos, de Arturo Pérez-Reverte
Homo Deus. Breve Historia del Mañana, de Yuval Noah Harari
Horizonte Azul, de Wilbur Smith
In Memoriam, de Henri Nouwen
Inferno, de Dan Brown
Informe sobre la Tierra: Fundamentalmente Inofensiva, de Douglas Adams
